"dataset_generation_date","ceg_core_id","ceg_code","generation_type","fuel_source","plant_name","plant_state","system_description","unit_number","authorized_power_kw","test_released_power_kw","commercial_released_power_kw","energy_market","test_operation_start_granted_date","test_operation_release_date","test_dispatch_number","commercial_operation_start_granted_date","commercial_operation_release_date","commercial_dispatch_number","commercial_operation_release_year","is_northeast"
"2026-03-20","44949","EOL.CV.BA.044949-0.1","EOL","E�lica","Aroeira 4","BA","Sistema Interligado Nacional","7","4300","4300","4300","Fora do ACR","2024-01-26","2023-09-15","34122023","2024-02-27","2023-12-23","50852023","2023","True"
"2026-03-20","44949","EOL.CV.BA.044949-0.1","EOL","E�lica","Aroeira 4","BA","Sistema Interligado Nacional","8","4300","4300","4300","Fora do ACR","2024-01-26","2023-09-15","34122023","2024-02-27","2023-12-23","50852023","2023","True"
"2026-03-20","44949","EOL.CV.BA.044949-0.1","EOL","E�lica","Aroeira 4","BA","Sistema Interligado Nacional","9","4300","4300","4300","Fora do ACR","2024-01-26","2023-09-15","34122023","2024-02-27","2023-12-23","50852023","2023","True"
"2026-03-20","44950","EOL.CV.BA.044950-4.1","EOL","E�lica","Aroeira 5","BA","Sistema Interligado Nacional","1","4300","4300","4300","Fora do ACR","2023-12-01","2023-09-15","34132023","2024-01-02","2023-12-20","50222023","2023","True"
"2026-03-20","44950","EOL.CV.BA.044950-4.1","EOL","E�lica","Aroeira 5","BA","Sistema Interligado Nacional","10","4300","4300","4300","Fora do ACR","2023-12-08","2023-09-15","34132023","2024-01-02","2023-12-20","50222023","2023","True"
"2026-03-20","44950","EOL.CV.BA.044950-4.1","EOL","E�lica","Aroeira 5","BA","Sistema Interligado Nacional","2","4300","4300","4300","Fora do ACR","2023-12-01","2023-09-15","34132023","2024-01-02","2023-12-20","50222023","2023","True"
"2026-03-20","44950","EOL.CV.BA.044950-4.1","EOL","E�lica","Aroeira 5","BA","Sistema Interligado Nacional","3","4300","4300","4300","Fora do ACR","2023-12-01","2023-09-15","34132023","2024-01-02","2023-12-20","50222023","2023","True"
"2026-03-20","44950","EOL.CV.BA.044950-4.1","EOL","E�lica","Aroeira 5","BA","Sistema Interligado Nacional","4","4300","4300","4300","Fora do ACR","2023-12-01","2023-09-15","34132023","2024-01-02","2023-12-20","50222023","2023","True"
"2026-03-20","44950","EOL.CV.BA.044950-4.1","EOL","E�lica","Aroeira 5","BA","Sistema Interligado Nacional","5","4300","4300","4300","Fora do ACR","2023-12-08","2023-09-15","34132023","2024-01-02","2023-12-20","50222023","2023","True"
"2026-03-20","44950","EOL.CV.BA.044950-4.1","EOL","E�lica","Aroeira 5","BA","Sistema Interligado Nacional","6","4300","4300","4300","Fora do ACR","2023-12-08","2023-09-15","34132023","2024-01-02","2023-12-20","50222023","2023","True"
"2026-03-20","44950","EOL.CV.BA.044950-4.1","EOL","E�lica","Aroeira 5","BA","Sistema Interligado Nacional","7","4300","4300","4300","Fora do ACR","2023-12-08","2023-09-15","34132023","2024-01-02","2023-12-20","50222023","2023","True"
"2026-03-20","44950","EOL.CV.BA.044950-4.1","EOL","E�lica","Aroeira 5","BA","Sistema Interligado Nacional","8","4300","4300","4300","Fora do ACR","2023-12-08","2023-09-15","34132023","2024-01-02","2023-12-20","50222023","2023","True"
"2026-03-20","44950","EOL.CV.BA.044950-4.1","EOL","E�lica","Aroeira 5","BA","Sistema Interligado Nacional","9","4300","4300","4300","Fora do ACR","2023-12-08","2023-09-15","34132023","2024-01-02","2023-12-20","50222023","2023","True"
"2026-03-20","44951","EOL.CV.BA.044951-2.1","EOL","E�lica","Aroeira 6","BA","Sistema Interligado Nacional","1","4300","4300","4300","Fora do ACR","2023-12-15","2023-09-15","34142023","2024-01-16","2023-12-19","49702023","2023","True"
"2026-03-20","44951","EOL.CV.BA.044951-2.1","EOL","E�lica","Aroeira 6","BA","Sistema Interligado Nacional","2","4300","4300","4300","Fora do ACR","2023-12-15","2023-09-15","34142023","2024-01-16","2023-12-19","49702023","2023","True"
"2026-03-20","44951","EOL.CV.BA.044951-2.1","EOL","E�lica","Aroeira 6","BA","Sistema Interligado Nacional","3","4300","4300","4300","Fora do ACR","2023-12-15","2023-09-15","34142023","2024-01-16","2023-12-19","49702023","2023","True"
"2026-03-20","44951","EOL.CV.BA.044951-2.1","EOL","E�lica","Aroeira 6","BA","Sistema Interligado Nacional","4","4300","4300","4300","Fora do ACR","2023-12-15","2023-09-15","34142023","2024-01-16","2023-12-19","49702023","2023","True"
"2026-03-20","44951","EOL.CV.BA.044951-2.1","EOL","E�lica","Aroeira 6","BA","Sistema Interligado Nacional","5","4300","4300","4300","Fora do ACR","2023-12-22","2023-09-15","34142023","2024-01-16","2023-12-19","49702023","2023","True"
"2026-03-20","44951","EOL.CV.BA.044951-2.1","EOL","E�lica","Aroeira 6","BA","Sistema Interligado Nacional","6","4300","4300","4300","Fora do ACR","2023-12-22","2023-09-15","34142023","2024-01-16","2023-12-19","49702023","2023","True"
"2026-03-20","44951","EOL.CV.BA.044951-2.1","EOL","E�lica","Aroeira 6","BA","Sistema Interligado Nacional","7","4300","4300","4300","Fora do ACR","2023-12-22","2023-09-15","34142023","2024-01-16","2023-12-19","49702023","2023","True"
"2026-03-20","44951","EOL.CV.BA.044951-2.1","EOL","E�lica","Aroeira 6","BA","Sistema Interligado Nacional","8","4300","4300","4300","Fora do ACR","2023-12-22","2023-09-15","34142023","2024-01-16","2023-12-19","49702023","2023","True"
"2026-03-20","44951","EOL.CV.BA.044951-2.1","EOL","E�lica","Aroeira 6","BA","Sistema Interligado Nacional","9","4300","4300","4300","Fora do ACR","2023-12-22","2023-09-15","34142023","2024-01-16","2023-12-19","49702023","2023","True"
"2026-03-20","44952","EOL.CV.BA.044952-0.1","EOL","E�lica","Aroeira 7","BA","Sistema Interligado Nacional","1","4300","4300","4300","Fora do ACR","2023-12-22","2023-09-15","34152023","2024-01-30","2023-12-19","49712023","2023","True"
